category,description,item_type,uom,unit_cost,sample_count,source
"Balustrade, Fret work, Battening and Gates","External balustrade front with Kwila laminated 90 x 90 posts,",MatLab,lm,73.99,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",External balustrade rear,MatLab,lm,73.17,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",External fretwork,MatLab,lm,69.4,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",External timber battening,MatLab,lm,66.3,1,Benecia 2022-23 x1.17
"Balustrade, Fret work, Battening and Gates",Supply and install Aluminium screen across the front of House in Pearl white,Sub,Allowance,5773.95,1,Benecia 2022-23 x1.17
Blocklayer,20MPa Core fill Mix Concrete,Mat,m3,935.92,1,Benecia 2022-23 x1.17
Blocklayer,BLOCK SET OUT,Lab,ea,76.05,1,Benecia 2022-23 x1.17
Blocklayer,Labour to Core Fill Concrete,Lab,Hour,76.05,1,Benecia 2022-23 x1.17
Blocklayer,Line pump for core filling Blocks walls,Mat,Ea,828.13,1,Benecia 2022-23 x1.17
Blocklayer,"Masonry Blocks, supply and install, core fill retaining wall",Sub,m2,154.62,1,Constitution 2024-25 x1.10
Blocklayer,"Masonry Blocks, supply, install,  retaining walls and front fence",Sub,m2,201.99,1,Benecia 2022-23 x1.17
Blocklayer,"Masonry Blocks, supply, install, for tank plinth approximately 3m wide  x 1.4m wide x .4m high",Mat,m2,131.65,1,Benecia 2022-23 x1.17
Blocklayer,"Supply and install, Besser Block infill instead of aluminium, wing walls and core filled",Mat,m2,672.62,1,Benecia 2022-23 x1.17
Blockwork - Retaining,15mm Foam Cavity Filler's - 2m lengths,Mat,each,5.72,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 20.01  Standard,Mat,each,3.89,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 20.01  Standard (Cnr),Mat,each,3.89,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 20.09  Control Joint Full,Mat,each,7.91,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 20.10  Control Joint 1/2,Mat,each,7.91,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 20.45  Clean Out Block,Mat,each,4.19,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 20.48  H Block,Mat,each,3.96,1,Carberry 2025 x1.04
Blockwork - Retaining,200 Series - 50.45a Tile Biscuit & Spring,Mat,each,3.36,1,Carberry 2025 x1.04
Blockwork - Retaining,20mm Drainage Gravel - Accessories - Gravel 20mm (300mm width),Mat,m3,104.0,1,Carberry 2025 x1.04
Blockwork - Retaining,Accessories - Agi Pipe Slotted  100mm x 20m  Socked,Mat,20m Roll,123.76,1,Carberry 2025 x1.04
Blockwork - Retaining,Concrete Pump - Minimum Charge,Mat,each,1560.0,2,Carberry 2025 x1.04
Blockwork - Retaining,Core Flute 1200 x 1800mm,Mat,each,15.44,1,Carberry 2025 x1.04
Blockwork - Retaining,Corner Bars - N12  600 x 600 - 90 deg.,Mat,each,4.37,1,Carberry 2025 x1.04
Blockwork - Retaining,Geotext Fabric,Lab,m2,1.37,1,Carberry 2025 x1.04
Blockwork - Retaining,Gravel - Delivery - Steel Reo. Zone 1,Mat,each,137.28,1,Carberry 2025 x1.04
Blockwork - Retaining,Grey Base - Blockfill 10/25 Mpa,Mat,m3,173.78,1,Carberry 2025 x1.04
Blockwork - Retaining,Horizontal - Deformed Bar - N12 x 6000mm (Straight),Mat,each,16.17,1,Carberry 2025 x1.04
Blockwork - Retaining,Sealant - Sika-Flex Pro Multipurpose (Grey),Mat,310ml,15.91,1,Carberry 2025 x1.04
Blockwork - Retaining,Supply & Apply - Sealer,Lab,20 Ltr,124.8,1,Carberry 2025 x1.04
Blockwork - Retaining,Vertical - Deformed Bar - N12 x 6000mm (Straight),Mat,each,16.17,1,Carberry 2025 x1.04
Bored Piers - Concrete Footings,Delivery - Truck Standby Time,Mat,hr,124.8,1,Carberry 2025 x1.04
Bored Piers - Concrete Footings,Footings - Concrete - Grey Base - 20/25 Mpa - Zone 1,Mat,m3,277.99,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Bathroom Joinery - Quality,Lab,Lm,2288.0,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Joinery - Fireplace - seat,Lab,Lm,1560.0,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Kitchen - Quality,Lab,Lm,5616.0,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Linen/Storage fitout (basic shelving only - Doors elsewhere),Lab,Lm,686.4,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Outdoor Kitchen and benches,Lab,Lm,3120.0,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Robes fitout (basic shelving and rail only - Doors elsewhere),Lab,Lm,686.4,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Study Joinery,Lab,Lm,3203.2,1,Carberry 2025 x1.04
Cabinetry & Bench Tops,Walk-in Joinery -  Medium level Joinery,Lab,Lm,2496.0,1,Carberry 2025 x1.04
Carpet,Supply and Install Carpet,Lab,m2,124.8,1,Carberry 2025 x1.04
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Carpentry to set out, build and install two Y frame clothes line posts and install stainless 7 x steel wires",Mat,Hour,68.64,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Clients to supply letterbox & Numerals,Mat,Ea,175.5,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Concrete,Mat,Allowance,27.97,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Deliveries,Mat,Allowance,76.05,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Excavate post footings and spread soil on site .45m x .45m x .7m,Mat,Hour,76.05,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Install rubber floor tiles in gym, supplied by client",Lab,ea,52.65,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Install rubber floor tiles in gym, supplied by client. Actual",Lab,Allowance,315.9,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Install rubber floor tiles in gym, supplied by client. Estimated",Lab,Allowance,140.4,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Paint materials and labour to gap fill and bog holes, 2 coats oil primer, 2 coats Weathershield",Mat,Allowance,27.97,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Stainless steel wire and buckles,Mat,Allowance,161.46,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Supply and install workshop peg board, shelving and bench as specified",MatLab,ea,126.18,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Supply and install workshop peg board, shelving and bench. Actual",MatLab,Allowance,2170.21,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top","Supply and install workshop peg board, shelving and bench. Estimated",MatLab,Allowance,819.0,1,Benecia 2022-23 x1.17
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Supply letterbox & Numerals,Mat,Ea,184.5,2,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
"Clothes Lines, Mailbox, Pegboard, shelving, bench top",Timber Post material,Mat,5.4mm Length,74.27,1,Benecia 2022-23 x1.17
Concrete Slab & Footings,Able-Flex - Foamjoint 10 x 200mm x 25m (Sticky Back),Mat,each,43.68,1,Carberry 2025 x1.04
Concrete Slab & Footings,Chemical Anchors - Chemset 101 Injection with Nozzle Tap  (Twin Pack),Mat,2 x 400ml,54.7,1,Carberry 2025 x1.04
Concrete Slab & Footings,Concretor Labour - Day Rate (Premium),Lab,day,915.2,1,Carberry 2025 x1.04
Concrete Slab & Footings,Crusher Dust - Gravel - Crusher Dust  - Brown,Mat,m3,73.22,1,Carberry 2025 x1.04
Concrete Slab & Footings,Deformed Bar - N12 x 6000mm (Straight),Mat,each,16.17,1,Carberry 2025 x1.04
Concrete Slab & Footings,Delivery - Landscape Yard,Mat,each,82.37,1,Carberry 2025 x1.04
Concrete Slab & Footings,Dowells - R16 x 600mm,Mat,each,6.59,1,Carberry 2025 x1.04
Concrete Slab & Footings,Fabric Mesh - SL82  2400 x 6000,Mat,each,168.48,1,Carberry 2025 x1.04
Concrete Slab & Footings,PVC Tape - 50mm x 30mtr Grey Roll,Mat,each,5.3,1,Carberry 2025 x1.04
Concrete Slab & Footings,Plastic Membrane - 200um 4m x 50m = 200m2 Roll (Black),Mat,each,150.18,1,Carberry 2025 x1.04
Concrete Slab & Footings,Slab and thickenings - Concrete - Grey Base - 25MPa  Generic Exposed,Mat,m3,336.23,1,Carberry 2025 x1.04
Concrete Slab & Footings,Sundry Materials,Mat,each,343.2,1,Carberry 2025 x1.04
Concrete Slab & Footings,Tie Wire - Coil Black 1.6mm x 5kg,Mat,each,62.4,1,Carberry 2025 x1.04
Concrete Works,Alfresco slab and stairs,MatLab,m2,137.28,1,Benecia 2022-23 x1.17
Concrete Works,Carpentry labour,MatLab,Allowance,82.5,1,Constitution 2024-25 x1.10
Concrete Works,Concrete pump - Boom or Line pump,Sub,Ea,995.5,1,Constitution 2024-25 x1.10
Concrete Works,Concrete supply and deliver,Mat,m3,155.76,2,Benecia 2022-23 x1.17; Constitution 2024-25 x1.10
Concrete Works,"Extra steel reinforcement and concrete in Alfresco slab thickening beams, supply and install",Mat,Ea,835.91,1,Benecia 2022-23 x1.17
Concrete Works,"Front stairs, pathway and front fence footing. Garage stair to come out at carport slab height one step to absorb storm water pipe that will run along the face of the carport",MatLab,m2,104.31,1,Benecia 2022-23 x1.17
Concrete Works,Kayne Concrete labour SLAB POUR,Lab,Ea,819.0,1,Benecia 2022-23 x1.17
Concrete Works,"Post Pads and footings footings,",MatLab,ea,122.45,1,Constitution 2024-25 x1.10
Concrete Works,Post Pads inc labour & materials,Lab,each,454.38,1,Benecia 2022-23 x1.17
Concrete Works,Prepare and install tank plinth slab,Mat,m2,98.65,1,Benecia 2022-23 x1.17
Concrete Works,"S1 Slabs on ground, place and finish, including sand, plastic, chairs,  steel, & labour, as per engineering",MatLab,m2,185.6,1,Constitution 2024-25 x1.10
Concrete Works,"S2 Slabs on ground, place and finish, including sand, plastic, chairs,  steel, & labour, as per engineering",MatLab,m2,81.94,1,Constitution 2024-25 x1.10
Concrete Works,Slab for gas bottles to sit on,Mat,m2,84.25,1,Benecia 2022-23 x1.17
Concrete Works,"Slab on ground, place and finish, including sand, plastic, chairs,  steel, & labour",MatLab,m2,150.18,1,Benecia 2022-23 x1.17
Concrete Works,"Stairs, Formed concrete",MatLab,each,111.3,1,Constitution 2024-25 x1.10
Concrete Works,"Strip footings SF1, RW1 as per engineering detail, labour & materials",MatLab,m2,193.21,1,Benecia 2022-23 x1.17
Concrete Works,"Thickening garage slab as per engineers advice, to allow for car hoist by others. 32MPA, DOUBLE MESH, 200MM THICK MINIMUM",MatLab,Allowance,787.6,1,Constitution 2024-25 x1.10
Concreter,Acid Wash and Seal Exposed Aggregate Driveway,Sub,m2,18.06,1,Hilda 2021-22 x1.29
Concreter,Concrete pump - Boom or Line pump,Mat,each,1187.59,2,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
Concreter,Concrete. Bored Piers. This quote has allowed for 900mm of concrete in a 450mm diameter hole,MatLab,m3,768.35,1,Hilda 2021-22 x1.29
Concreter,"Concrete. Prep and pour Carport, Front under croft, Stair landing  and driveway slab",MatLab,m2,124.88,1,Hilda 2021-22 x1.29
Concreter,Concrete. Prep and pour garage Slab,MatLab,m2,112.35,1,Hilda 2021-22 x1.29
Concreter,Pump washout offsite,Mat,each,322.5,1,Hilda 2021-22 x1.29
Demolition,Acrows - Prop No. 3   2.5m - 3.9m (8' - 12'),Mat,day,6.14,1,Carberry 2025 x1.04
Demolition,Cleaning equipment - water pressure cleaner - Electric/petrol,Mat,days,120.64,1,Carberry 2025 x1.04
Demolition,Delivery - Steel Reo. Zone 1,Mat,each,137.28,5,Carberry 2025 x1.04
Demolition,Dust Fibre Suits,Mat,each,15.6,1,Carberry 2025 x1.04
Demolition,Filter Masks   (Pack of 3),Mat,each,10.4,1,Carberry 2025 x1.04
Demolition,Hire - Concrete Floor Saw 400 mm   (Blade Extra),Mat,day,260.0,1,Carberry 2025 x1.04
Demolition,Hire - Diamond Blade 400mm  (Inc .1mm wear/day),Mat,day,27.46,1,Carberry 2025 x1.04
Demolition,Jackhammer - Large Bosch Brute  (incl.Point & Chisel),Mat,day,104.52,1,Carberry 2025 x1.04
Demolition,Permit - Road / Sidewalk,Mat,each,156.0,1,Carberry 2025 x1.04
Demolition,Skip Bins - 10 m3,Mat,each,1029.6,2,Carberry 2025 x1.04
Demolition,Tarps - 7m x 11m (24' x 36') Blue,Mat,week,358.8,1,Carberry 2025 x1.04
Demolition,Truck waste removal - per load - 11 tonne Bogie tipper truck - concrete/brick/asphalt - per load,Mat,each,858.0,1,Carberry 2025 x1.04
Earthworks,Backfill Retaining,Lab,hrs,148.72,1,Carberry 2025 x1.04
Earthworks,Cut & Fill Platform - Earthworks - Excavator 4-6 Tonne,Lab,hr,155.13,1,Carberry 2025 x1.04
Earthworks,Dig Footings - Excavator,Lab,hrs,148.72,1,Carberry 2025 x1.04
Earthworks,Dig Footings - Excavator - Block Footings,Lab,hrs,148.72,1,Carberry 2025 x1.04
Earthworks,Dig Footings- Drill Bored Piers,Lab,hrs,148.72,1,Carberry 2025 x1.04
Earthworks,Slab Preparation,Lab,hr,148.72,1,Carberry 2025 x1.04
Electrical,1. Installation of an electrical conduit from the house to the front gatehouse area allowing for supply of power & light cabling to the area when required. Cabling will be repositioned on the house side for future use.(Note: it is anticipated that the plu,Mat,Allowance,2172.5,1,Constitution 2024-25 x1.10
Electrical,10. Reinstall the TV antenna once the roofers are finished.,Mat,Allowance,110.0,1,Constitution 2024-25 x1.10
Electrical,11. To install a light over the rear deck stairs.,Mat,Allowance,165.0,1,Constitution 2024-25 x1.10
Electrical,2. To supply & install 4 new 15/30W LED flood lights to the corners of the house to be switched with the security beam as well as a manual switch at alarm panel.,Mat,Allowance,1100.0,1,Constitution 2024-25 x1.10
Electrical,"3. To install additional GPO's & TV points in the media, lounge & formal living.",Mat,Allowance,660.0,1,Constitution 2024-25 x1.10
Electrical,4.To reposition the downlights in the downstairs office into a centralised position.,Mat,Allowance,55.0,1,Constitution 2024-25 x1.10
Electrical,5. To supply & install a new 3 phase circuit to the AC system with isolator & RCBO installed.,Mat,Allowance,660.0,1,Constitution 2024-25 x1.10
Electrical,6. To install a spot light with 2 motion sensors to light up the path to the pool from the garage.,Mat,Allowance,440.0,1,Constitution 2024-25 x1.10
Electrical,7. To supply & install 2 GPO's in the pantry & laundry for the robo vac's.,Mat,Allowance,330.0,1,Constitution 2024-25 x1.10
Electrical,8. To install a wall light outside the downstairs office.,Mat,Allowance,165.0,1,Constitution 2024-25 x1.10
Electrical,9. Supplied & installed an additional smoke alarm and ceiling fan in the downstairs media room.,Mat,Allowance,330.0,1,Constitution 2024-25 x1.10
Electrical,Additional electrical mark ups for fan replacements & down light installations received on 28/3/22,Mat,each,1404.0,1,Benecia 2022-23 x1.17
Electrical,Allowance per m2 (Medium),Lab,m2,104.0,1,Carberry 2025 x1.04
Electrical,Brisbane Power Poles to supply and install powder coated (Monument) steel property pole.,Sub,Allowance,3135.0,1,Constitution 2024-25 x1.10
Electrical,Ceiling GPO’s and Wireless Access Points,MatLab,Allowance,1122.0,1,Constitution 2024-25 x1.10
Electrical,Disconnect & rewire and fit off as per plans and specifications,Sub,Ea,5060.02,1,Benecia 2022-23 x1.17
Electrical,Disconnect & rewire and fit off as per plans and specifications. All lighting and fans supplied by the client,Sub,Ea,3019.68,1,Hilda 2021-22 x1.29
Electrical,Electrical extra scope,Sub,Allowance,1872.0,1,Benecia 2022-23 x1.17
Electrical,Electrical. Supply & install 2 new 3 phase 20A circuits to either side of the garage to allow for the installation of car chargers,Mat,Allowance,440.0,1,Constitution 2024-25 x1.10
Electrical,Electrical. Supply & install a new 3 phase 2.5mm cable from the switchboard to the car hoist location in the garage.,Sub,Allowance,403.34,1,Constitution 2024-25 x1.10
Electrical,Exhaust fans and switches,Mat,Allowance,1216.8,1,Benecia 2022-23 x1.17
Electrical,Extra power point in the laundry cabinet for washing machine due to relocation,Sub,each,234.0,1,Benecia 2022-23 x1.17
Electrical,Install earthing requirement for all glass pool fencing posts,Mat,each,1404.0,1,Benecia 2022-23 x1.17
Electrical,Light Fittings -  PC,Mat,PC,7280.0,1,Carberry 2025 x1.04
Electrical,Love Electrical to supply and install underground 3 phase 16mm cabling and connections into meter box.,Mat,Allowance,2310.0,1,Constitution 2024-25 x1.10
Electrical,Making safe the worksite. To supply & install the necessary wiring & fittings as per the supplied plans. This includes the extension of existing switchboard cabling to the new switchboard location,Sub,Allowance,9330.75,1,Constitution 2024-25 x1.10
Electrical,Power point and conduit replacement in garage for garage door and switched lighting,Sub,each,1104.48,1,Benecia 2022-23 x1.17
Electrical,"Prime Cost for, Ceiling fans (internal fans to be similar to Bayside Nautilus) As per specification on page SP06",Mat,Allowance,1650.0,1,Constitution 2024-25 x1.10
Electrical,"Prime Cost for, Light fittings, Sensors, detectors, exhaust fans. As per specification on page SP06",Mat,Allowance,2747.25,2,Constitution 2024-25 x1.10
Electrical,Provisional sum allowance for machine and spotter to excavate trench for underground cabling.,Mat,Allowance,467.77,2,Constitution 2024-25 x1.10
Electrical,Provisional sum allowed to supply & install a new 3 phase 16mm mains cabling from the connection point to the meter box & then to the switchboard to replace the existing 16mm single phase cable,Sub,Allowance,1613.34,1,Constitution 2024-25 x1.10
Electrical,Relocate overhead power line to front southern corner of the house,Sub,Allowance,702.0,1,Benecia 2022-23 x1.17
Electrical,"Supply and install new TV antenna, bracket and cabling back to the splitter to fix the reception issues as requested by the owner.",Sub,ea,508.95,1,Benecia 2022-23 x1.17
Electrical,Supply and install power cabling and isolator switch for air-con unit.,Sub,Allowance,220.0,1,Constitution 2024-25 x1.10
Electrical,To relocate the existing 2 GPO's in the downstairs media room to a higher position.,Sub,Allowance,66.0,1,Constitution 2024-25 x1.10
Electrical,To supply & install 2 new GPO's in the downstairs media room between the repositioned GPO's.,Sub,Allowance,330.0,1,Constitution 2024-25 x1.10
Electrical,"To supply & install 3 new Nebular Large LED flood lights on the northern, western & southern sides of the house to be feed back to the switchboard & controlled with a separate contactor switch by the security system.",Sub,Allowance,1023.0,1,Constitution 2024-25 x1.10
Electrical,To supply & install a new 3 phase 2.5mm power supply from the existing car hoist location to the twin HWS location. Paint ducting in wall colour,Sub,Allowance,407.0,1,Constitution 2024-25 x1.10
Electrical,To supply & install a new GPO in the master bedroom WIR between the ensuite door & cabinetry.,Sub,Allowance,330.0,1,Constitution 2024-25 x1.10
Electrical,"To supply & install a new RCBO in the switchboard, run the cabling to the HWS position, connect & commission the appliance. To supply & install a new RCBO in the switchboard, run the cabling to the hot plate position, connect & commission the appliance.",Mat,Allowance,962.5,1,Constitution 2024-25 x1.10
Electrical,To supply & install a new light cable from the front door switch plate to the middle of the entry area for a future feature light.,Sub,Allowance,110.0,1,Constitution 2024-25 x1.10
Electrical,To supply & install a new power point inside the kitchen pantry cupboard.,Sub,Allowance,165.0,1,Constitution 2024-25 x1.10
Electrical,To supply & install the 11 rotary light dimmers to the areas mentions in the text. $100 each,Sub,Allowance,1210.0,1,Constitution 2024-25 x1.10
Electrical,To supply & install the 2 x 20A heater circuits from the switchboard to the rear deck area and to fit off the heaters.,Sub,Allowance,550.0,1,Constitution 2024-25 x1.10
Electrical,Tv and Soundbar Install,Lab,Allowance,608.4,1,Benecia 2022-23 x1.17
Electrical,Tv antenna supply and install,Sub,each,508.95,1,Benecia 2022-23 x1.17
Fencing,Stone installation labour,Lab,Allowance,11094.52,1,Benecia 2022-23 x1.17
Fencing,Stone sealing,MatLab,Allowance,702.0,1,Benecia 2022-23 x1.17
Fencing,Supply and install aluminium fence panel inserts into front block fence including gate with lever handle,Sub,ea,7181.46,2,Benecia 2022-23 x1.17
Fencing,"Upgrade front fence footing to suit new fence style as per engineering, Steel reo, Concrete and labour",MatLab,Allowance,1360.42,1,Benecia 2022-23 x1.17
Fencing,wash down and paint the fences 2 x side 1 x rear,MatLab,Allowance,67.46,1,Benecia 2022-23 x1.17
Fencing & Gates,Automatic Sliding Driveway Gate,Lab,each,15600.0,1,Carberry 2025 x1.04
Fencing & Gates,Gate - Powder coated Pedestrian Gate,Lab,each,988.0,1,Carberry 2025 x1.04
Fencing & Gates,Quality Powdercoated Balustrades/Fencing/Screens (incl Gates),Lab,Lm,717.6,1,Carberry 2025 x1.04
Fencing & Sleeper Retaining Walls,Sealed Dark Grey tinted plain concrete sleepers. Posts painted Monument.,Mat,Allowance,1100.0,1,Constitution 2024-25 x1.10
Fencing & Sleeper Retaining Walls,"Supply and install 800mm high, Concrete sleeper retaining wall as marked on plan.",MatLab,lm,2151.51,1,Constitution 2024-25 x1.10
Fire Place,4 x 6 DV Gal 45ø Elbow,Mat,each,265.59,1,Benecia 2022-23 x1.17
Fire Place,Dektite 150mm - 300mm Black,Mat,each,84.03,1,Benecia 2022-23 x1.17
Fire Place,Delivery to Site,Mat,each,210.6,1,Benecia 2022-23 x1.17
Fire Place,FIREPLACE TOUCH UP PAINT,Mat,ea,42.49,1,Benecia 2022-23 x1.17
